id,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,vehicles,desc
16,Jabba Desilijic Tiure,175,1,,"{GREEN, BROWN}",ORANGE,600BBY,hermaphrodite,24,5,{},"Jabba Desilijic Tiure,[1] commonly known as Jabba the Hutt, is a fictional character and an antagonist in the Star Wars franchise created by George Lucas. He is depicted as a large, slug-like[2] alien. His appearance has been described by film critic Roger Ebert as a cross between a toad and the Cheshire Cat.[3]
In the original theatrical releases of the original Star Wars trilogy, Jabba the Hutt first appeared in Return of the Jedi (1983), though he is mentioned in Star Wars (1977) and The Empire Strikes Back (1980), and a previously deleted scene involving Jabba the Hutt was added to the 1997 theatrical re-release and subsequent home media releases of Star Wars. Jabba is introduced as the de facto leader of the Desilijic-Hutt Cartel, and the most powerful crime boss on Tatooine, who has a bounty on Han Solo's head. Jabba employs a retinue of career criminals, bounty hunters, smugglers, assassins and bodyguards to operate his criminal empire. He keeps a host of entertainers at his disposal at his palace: slaves, droids and alien creatures. Jabba has a grim sense of humor, an insatiable appetite, and affinities for gambling, slave girls, and torture.[1]
The character was incorporated into the Star Wars merchandising campaign that corresponded with the theatrical release of Return of the Jedi. Besides the films, Jabba the Hutt is featured in Star Wars Legends literature. Jabba the Hutt's image has since played an influential role in popular culture, particularly in the United States. The name is used as a satirical literary device and a political caricature to underscore negative qualities such as morbid obesity and corruption.[4][5]"
18,Wedge Antilles,170,77,{BROWN},{FAIR},HAZEL,21BBY,male,22,1,"{14,12}","Wedge Antilles is a fictional character in the Star Wars franchise. He is a supporting character portrayed by Denis Lawson in the original Star Wars trilogy.[1] Antilles is a starfighter pilot for the Rebel Alliance, and founded Rogue Squadron with his friend Luke Skywalker. Wedge is notable for being the only Rebel pilot to have survived both attack runs on the Death Stars at the battles of Yavin and Endor.[1] He also appears in the Star Wars expanded universe, most notably as the lead character in most of the X-Wing novels."
19,Jek Tono Porkins,180,110,{BROWN},{FAIR},BLUE,,male,26,1,{12},
20,Yoda,66,17,{WHITE},{GREEN},BROWN,896BBY,male,,6,{},"Yoda is a fictional character in the Star Wars franchise created by George Lucas, first appearing in the 1980 film The Empire Strikes Back. In the original films, he trains Luke Skywalker to fight against the Galactic Empire. In the prequel films, he serves as the Grand Master of the Jedi Order and as a high-ranking general of Clone Troopers in the Clone Wars. Following his death in Return of the Jedi at the age of 900, Yoda was the oldest living character in the Star Wars franchise in canon, until the introduction of Maz Kanata in Star Wars: The Force Awakens."
21,Palpatine,170,75,{GRAY},{PALE},YELLOW,82BBY,male,8,1,{},"Sheev Palpatine[3], also known as Darth Sidious and The Emperor, is a fictional character and one of the primary antagonists of the Star Wars franchise,[4] mainly portrayed by Ian McDiarmid. In the original trilogy, he is depicted as the aged, pale-faced and cloaked Emperor of the Galactic Empire and the master of Darth Vader. In the prequel trilogy, he is portrayed as a charismatic Senator from Naboo who uses deception and political manipulation to rise to the position of Supreme Chancellor of the Galactic Republic, and then reorganizes the Republic into the Galactic Empire, with himself as Emperor.
Though outwardly appearing to be a well-intentioned public servant and supporter of democracy prior to becoming Emperor,[5] he is actually Darth Sidious, the Dark Lord of the Sith – a cult of practitioners of the dark side of the Force previously thought to have been extinct in the Star Wars galaxy for a millennium.[5] As Sidious, he instigates the Clone Wars, nearly destroys the Jedi, and transforms the Republic into the Empire. He also manipulates Jedi Knight Anakin Skywalker into turning to the dark side and serving at his side as Darth Vader. Palpatine's reign is brought to an end when Vader kills him to save his son, Luke Skywalker.
Since the initial theatrical run of Return of the Jedi, Palpatine has become a widely recognized popular culture symbol of evil, sinister deception, dictatorship, tyranny, and the subversion of democracy."
22,Boba Fett,183,78,{BLACK},{FAIR},BROWN,31.5BBY,male,10,1,{21},"Boba Fett is a fictional character in the Star Wars franchise. In The Empire Strikes Back and Return of the Jedi, he is a bounty hunter hired by Darth Vader and also employed by Jabba the Hutt. He was also added briefly to the original film Star Wars when the film was digitally remastered. Star Wars: Episode II – Attack of the Clones establishes his origin as an unaltered clone of the bounty hunter Jango Fett raised as his son. He also appears in several episodes of Star Wars: The Clone Wars cartoon series which further describes his growth as a villain in the Star Wars universe. His aura of danger and mystery has created a cult following for the character."
23,IG-88,200,140,{NONE},{METAL},RED,15BBY,none,,2,{},
24,Bossk,190,113,{NONE},{GREEN},RED,53BBY,male,29,7,{},
25,Lando Calrissian,177,79,{BLACK},{DARK},BROWN,31BBY,male,30,1,{10},"Lando Calrissian is a fictional character in the Star Wars franchise. He is portrayed by Billy Dee Williams in The Empire Strikes Back and Return of the Jedi, and will be played by Donald Glover in the upcoming standalone film, Solo: A Star Wars Story.[1] He also appears frequently in the Star Wars expanded universe of novels, comic books and video games, including a series of novels in which he is the protagonist."
26,Lobot,175,79,{NONE},{LIGHT},BLUE,37BBY,male,6,1,{},
27,Ackbar,180,83,{NONE},{BROWN},ORANGE,41BBY,male,31,8,{},
28,Mon Mothma,150,,{AUBURN},{FAIR},BLUE,48BBY,female,32,1,{},
29,Arvel Crynyd,,,{BROWN},{FAIR},BROWN,,male,,1,{28},
30,Wicket Systri Warrick,88,20,{BROWN},{BROWN},BROWN,8BBY,male,7,9,{},
31,Nien Nunb,160,68,{NONE},{GRAY},BLACK,,male,33,10,{10},"Nien Nunb is a fictional character in the Star Wars franchise. Introduced in the 1983 film Return of the Jedi, he was brought to life both as a puppet and a costumed actor during the film. Nunb was puppeteered by Mike Quinn and was portrayed by Richard Bonehill in wide shots. The character was voiced by Kipsang Rotich, a Kenyan student who spoke in his native Kalenjin language, as well as in the Kikuyu language. Quinn and Rotich returned to the role for the 2015 film Star Wars: The Force Awakens, with the former confirmed for the 2017 film Star Wars: The Last Jedi.
Within the fictional Star Wars universe, Nien Nunb was an arms dealer of the Sullustan species who joined the Alliance to Restore the Republic during the Galactic Civil War. Three decades later, Nunb was a starfighter pilot in the Resistance. He fought in the First Order–Resistance conflict, including the Battle of Starkiller Base."
32,Qui-Gon Jinn,193,89,{BROWN},{FAIR},BLUE,92BBY,male,,1,{38},"Qui-Gon Jinn is a fictional character in the Star Wars franchise, portrayed by Liam Neeson as the main protagonist of the 1999 film Star Wars: Episode I – The Phantom Menace."
33,Nute Gunray,191,90,{NONE},{GREEN},RED,,male,18,11,{},
34,Finis Valorum,170,,{BLOND},{FAIR},BLUE,91BBY,male,9,1,{},
35,Padmé Amidala,165,45,{BROWN},{LIGHT},BROWN,46BBY,female,8,1,"{49,64,39}","Padmé Amidala (born Padmé Naberrie) is a fictional character in the Star Wars franchise, appearing in the prequel trilogy portrayed by actress Natalie Portman. She served as the Princess of Theed and later Queen of Naboo. After her reign, she became a senator in the Galactic Senate, an anti-war movement spokesperson, and co-founder of the opposition-faction that later emerged as the Rebel Alliance.[2] She was secretly married to the Jedi Anakin Skywalker, and the biological mother of Luke Skywalker and Leia Organa, which makes her the mother-in-law of Han Solo, and the grandmother of Kylo Ren."
36,Jar Jar Binks,196,66,{NONE},{ORANGE},ORANGE,52BBY,male,8,12,{},"Jar Jar Binks is a fictional character from the Star Wars saga created by George Lucas. A major character in Star Wars: Episode I – The Phantom Menace, he also has a smaller role in Episode II: Attack of the Clones, and a one-line cameo in Episode III: Revenge of the Sith, as well as a role in the television series Star Wars: The Clone Wars. The first lead computer generated character of the franchise, he has been portrayed by Ahmed Best in most of his appearances.
Jar Jar's primary role in Episode I was to provide comic relief for the audience. Upon the movie's release, he was met with an overwhelmingly negative reception from both critics and audiences, and is today considered one of the most hated characters in the history of film.[1][2]"
37,Roos Tarpals,224,82,{NONE},{GRAY},ORANGE,,male,8,12,{},
38,Rugor Nass,206,,{NONE},{GREEN},ORANGE,,male,8,12,{},
39,Ric Olié,183,,{BROWN},{FAIR},BLUE,,male,8,,{40},
40,Watto,137,,{BLACK},"{BLUE, GRAY}",YELLOW,,male,34,13,{},"Watto is a fictional character in the Star Wars franchise, featured in the films The Phantom Menace and Attack of the Clones. He is computer-generated and played by voice actor Andy Secombe. He is a mean-tempered, greedy Toydarian, and owner of a second-hand goods store in Mos Espa on the planet Tatooine. Among Watto's belongings are the slaves Shmi Skywalker and her son, Anakin. He acquires them after winning a podracing bet with Gardulla the Hutt, and he puts them both to work in his store. Anakin demonstrates an incredible aptitude for equipment repair, and Watto decides to profit from it by having the boy fix various broken equipment in the store. He eventually loses Anakin in a podracing bet with Qui-Gon Jinn when he bets on a competitor, Sebulba, who is defeated by Anakin."
41,Sebulba,112,40,{NONE},"{GRAY, RED}",ORANGE,,male,35,14,{},
42,Quarsh Panaka,183,,{BLACK},{DARK},BROWN,62BBY,male,8,,{},
43,Shmi Skywalker,163,,{BLACK},{FAIR},BROWN,72BBY,female,1,1,{},
44,Darth Maul,175,80,{NONE},{RED},YELLOW,54BBY,male,36,22,"{42,41}","Darth Maul, later known simply as Maul, is a fictional character in the Star Wars franchise. Trained as Darth Sidious's first apprentice, he serves as a Sith Lord and a master of wielding a double-bladed lightsaber. He first appears in Star Wars: Episode I – The Phantom Menace (portrayed by Ray Park and voiced by Peter Serafinowicz), and later makes appearances in Star Wars: The Clone Wars and Star Wars Rebels, voiced by Samuel Witwer."
45,Bib Fortuna,180,,{NONE},{PALE},PINK,,male,37,15,{},
46,Ayla Secura,178,55,{NONE},{BLUE},HAZEL,48BBY,female,37,15,{},
47,Ratts Tyerell,79,15,{NONE},"{GRAY, BLUE}",,,male,38,16,{},
48,Dud Bolt,94,45,{NONE},"{BLUE, GRAY}",YELLOW,,male,39,17,{},
49,Gasgano,122,,{NONE},"{WHITE, BLUE}",BLACK,,male,40,18,{},
50,Ben Quadinaros,163,65,{NONE},"{GRAY, GREEN, YELLOW}",ORANGE,,male,41,19,{},
51,Mace Windu,188,84,{NONE},{DARK},BROWN,72BBY,male,42,1,{},"Mace Windu is a fictional character in the Star Wars franchise, portrayed by actor Samuel L. Jackson in the prequel films and voiced by voice-actor Terrence C. Carson in other projects. He appears as Master of the Jedi High Council and one of the last members of the order's upper echelons before the Galactic Republic's fall. He is the Council's primary liaison, although the Clone Wars caused him to question his most firmly held beliefs.[1]"
52,Ki-Adi-Mundi,198,82,{WHITE},{PALE},YELLOW,92BBY,male,43,20,{},
53,Kit Fisto,196,87,{NONE},{GREEN},BLACK,,male,44,21,{},
54,Eeth Koth,171,,{BLACK},{BROWN},BROWN,,male,45,22,{},
55,Adi Gallia,184,50,{NONE},{DARK},BLUE,,female,9,23,{},
56,Saesee Tiin,188,,{NONE},{PALE},ORANGE,,male,47,24,{},
57,Yarael Poof,264,,{NONE},{WHITE},YELLOW,,male,48,25,{},
58,Plo Koon,188,80,{NONE},{ORANGE},BLACK,22BBY,male,49,26,{48},
59,Mas Amedda,196,,{NONE},{BLUE},BLUE,,male,50,27,{},
60,Gregar Typho,185,85,{BLACK},{DARK},BROWN,,male,8,1,{39},
61,Cordé,157,,{BROWN},{LIGHT},BROWN,,female,8,1,{},
62,Cliegg Lars,183,,{BROWN},{FAIR},BLUE,82BBY,male,1,1,{},
63,Poggle the Lesser,183,80,{NONE},{GREEN},YELLOW,,male,11,28,{},
64,Luminara Unduli,170,56,{BLACK},{YELLOW},BLUE,58BBY,female,51,29,{},
65,Barriss Offee,166,50,{BLACK},{YELLOW},BLUE,40BBY,female,51,29,{},
66,Dormé,165,,{BROWN},{LIGHT},BROWN,,female,8,1,{},
67,Dooku,193,80,{WHITE},{FAIR},BROWN,102BBY,male,52,1,{55},"Count Dooku is a fictional character from the Star Wars franchise, appearing in Star Wars: Episode II – Attack of the Clones and Star Wars: Episode III – Revenge of the Sith (portrayed by Christopher Lee).[1] He was also voiced by Corey Burton in the animated series Star Wars: The Clone Wars and Star Wars: Clone Wars.
Once a respected Jedi Master, he falls to the dark side of the Force after the death of his former Padawan, Qui-Gon Jinn, and becomes Darth Sidious' second apprentice under the name Darth Tyranus. As the founder of the Confederacy of Independent Systems, he is instrumental in the Clone Wars. Dooku was trained by Yoda as a Padawan learner."
68,Bail Prestor Organa,191,,{BLACK},{TAN},BROWN,67BBY,male,2,1,{},"Senator Bail Prestor Organa of Alderaan, is a fictional character in the Star Wars franchise, portrayed by actor Jimmy Smits in Attack of the Clones (2002), Revenge of the Sith (2005), and Rogue One (2016). He is the senator from the planet Alderaan, one of the founding members of the Rebel Alliance, and the adoptive father of Leia Organa, a main character in the franchise."
69,Jango Fett,183,79,{BLACK},{TAN},BROWN,66BBY,male,53,1,{},"Jango Fett is a fictional character in the Star Wars franchise, created by George Lucas. He made his debut in the 2002 film Star Wars: Episode II – Attack of the Clones, where he was portrayed by actor Temuera Morrison.
In the context of the Star Wars universe, Jango Fett was regarded as the best mercenary in the galaxy during the final years of the Republic. A naturally skilled warrior, he was eventually chosen to serve as the genetic template for the Clone Army of the Galactic Republic. These clone soldiers were genetically modified to be predisposed toward unquestioning obedience to the chain of command, unlike their highly independent progenitor. Jango was also the ""father"" of unaltered clone Boba Fett, which he requested as part of his contract with the Kaminoans."
70,Zam Wesell,168,55,{BLONDE},"{FAIR, GREEN, YELLOW}",YELLOW,,female,54,30,{45},
71,Dexter Jettster,198,102,{NONE},{BROWN},YELLOW,,male,55,31,{},
72,Lama Su,229,88,{NONE},{GRAY},BLACK,,male,10,32,{},
73,Taun We,213,,{NONE},{GRAY},BLACK,,female,10,32,{},
74,Jocasta Nu,167,,{WHITE},{FAIR},BLUE,,female,9,1,{},
75,R4-P17,96,,{NONE},"{SILVER, RED}","RED, BLUE",,female,,,{},
76,Wat Tambor,193,48,{NONE},"{GREEN, GRAY}",,,male,56,33,{},
77,San Hill,191,,{NONE},{GRAY},GOLD,,male,57,34,{},
78,Shaak Ti,178,57,{NONE},"{RED, BLUE, WHITE}",BLACK,,female,58,35,{},
79,Grievous,216,159,{NONE},"{BROWN, WHITE}","GREEN, YELLOW",,male,59,36,"{60,74}","General Grievous is a fictional character in the Star Wars franchise. A former Kaleesh warlord named Qymaen jai Sheelal, he is the Supreme Commander of the Confederacy of Independent Systems during the Clone Wars against the Galactic Republic and is trained in all lightsaber combat forms to ensure the Jedi's destruction.
The character was originally introduced in 2004 in the animated series Star Wars: Clone Wars, before being part of the film Star Wars: Episode III – Revenge of the Sith."
80,Tarfful,234,136,{BROWN},{BROWN},BLUE,,male,14,3,{},
81,Raymus Antilles,188,79,{BROWN},{LIGHT},BROWN,,male,2,1,{},
82,Sly Moore,178,48,{NONE},{PALE},WHITE,,female,60,,{},
83,Tion Medon,206,80,{NONE},{GRAY},BLACK,,male,12,37,{},
84,Finn,,,{BLACK},{DARK},DARK,,male,,1,{},"Finn, designation number FN-2187, is a fictional character in the Star Wars franchise. He first appeared in the 2015 film Star Wars: The Force Awakens in which he is a stormtrooper for the First Order who flees and turns against it after being shocked by their cruelty in his first combat mission. He is played by British actor John Boyega, who will reprise the role in Star Wars: The Last Jedi."
85,Rey,,,{BROWN},{LIGHT},HAZEL,,female,,1,{},
86,Poe Dameron,,,{BROWN},{LIGHT},BROWN,,male,,1,{77},"Poe Dameron is a fictional character in the Star Wars franchise. Introduced in the 2015 film Star Wars: The Force Awakens, he is portrayed by Oscar Isaac. Poe is an X-wing fighter pilot for the Resistance who inadvertently brings renegade stormtrooper Finn (John Boyega) and Jakku scavenger Rey (Daisy Ridley) into the fight against—and eventually a victory over—the sinister First Order. He is featured in The Force Awakens media and merchandising as well as an eponymous comic book series, and will appear in the film's forthcoming sequel, Star Wars: The Last Jedi. Isaac and the character have received positive reviews, with Poe being compared to the characterization of Han Solo (Harrison Ford) in the original Star Wars film trilogy."
87,BB8,,,{NONE},{NONE},BLACK,,none,,2,{},"BB-8 (or Beebee-Ate) is a droid character in the Star Wars franchise, first appearing in the 2015 film Star Wars: The Force Awakens. Spherical with a free-moving domed head, BB-8 is portrayed by both a rod puppet and a remote-controlled robotic unit."
88,Captain Phasma,,,,,,,female,,,{},"Captain Phasma is a fictional character in the Star Wars franchise, portrayed by Gwendoline Christie. Introduced in Star Wars: The Force Awakens (2015), the first film in the Star Wars sequel trilogy, Phasma is the commander of the First Order's force of stormtroopers. Christie confirmed that the character would reappear in the next of the trilogy's films, Star Wars: The Last Jedi. The character also made an additional appearance in Before the Awakening, an anthology book set before the events of The Force Awakens.
J. J. Abrams created Phasma from an armor design originally developed for Kylo Ren and named her after the 1979 horror film Phantasm. The character was originally conceived as male before being changed to female. Phasma appeared prominently in promotion and marketing for The Force Awakens, but the character's ultimately minor role in the film was the subject of criticism. Nonetheless, merchandise featuring the character found success and her figure was the bestselling of all Force Awakens action figures on Amazon.co.uk.[3]"
