id,name,model,manufacturer,cost_in_credits,size,max_atmospheric_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,mglt,starship_class
44,Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders,5750,3,350,1,1,200,,,,
45,Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation,,6,800,1,1,80,,,,
46,XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit,,6,720,1,1,,,,,
47,AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,,390,,,30000,,,,,freighter
48,Jedi starfighter,Delta-7 Aethersprite-class interceptor,Kuat Systems Engineering,180000,8,1150,1,0,60,7 days,1,,Starfighter
49,H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,,47,8000,4,,,,0,,yacht
50,LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering,,17,620,6,30,170,,,,
51,LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering,,28,620,1,0,40000,,,,
52,Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,,752,,700,16000,11250000,2 years,0,,assault ship
53,AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",,13,60,6,36,10000,21 days,,,
54,SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering,,140,35,25,30,500,7 days,,,
55,Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective,8000,2,634,1,0,,,,,
56,Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering,,20,880,2,6,1000,7 days,,,
57,Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective,,9,20000,1,0,,,,,
58,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15,1600,3,11,240,7 days,1,,yacht
59,Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,1050,600,48247,50000000,4 years,1,,capital ship
60,Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,Z-Gomot Ternbuell Guppat Corporation,15000,3,330,1,1,10,,,,
61,Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000,18,2000,5,16,50000,56 days,1,,transport
62,Emergency Firespeeder,Fire suppression speeder,,,,,2,,,,,,
63,Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,975,7400,2000,20000000,2 years,1,,star destroyer
64,Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",,29,1050,3,3,,,0,,yacht
65,Jedi Interceptor,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,320000,5,1500,1,0,60,2 days,1,,starfighter
66,arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000,14,1000,3,0,110,5 days,1,100,starfighter
67,Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries",20000,5,1180,1,0,0,,,,
68,Banking clan frigte,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,,200,,40000000,2 years,1,,cruiser
69,Oevvaor jet catamaran,Oevvaor jet catamaran,Appazanna Engineering Works,12125,15,420,2,2,50,3 days,,,
70,Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,Appazanna Engineering Works,14750,7,310,2,0,20,,,,
71,Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards,350000,49,160,20,300,30000,20 days,,,
72,Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union,49000,10,100,0,4,0,,,,
73,Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering",60000,12,820,0,0,0,,,,
74,Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000,6,1100,1,0,140,7 days,6,,starfighter
75,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,102500,7,1050,1,0,60,15 hours,1,,starfighter
76,AT-RT,All Terrain Recon Transport,Kuat Drive Yards,40000,3,90,1,0,20,1 day,,,
77,T-70 X-wing fighter,T-70 X-wing fighter,Incom,,,,1,,,,,,fighter
