id,name,rotation_period,orbital_period,diameter,gravity,surface_water,population,climate,terrain,desc
11,Geonosis,30,256,11370,0.9,5,100000000000,"{TEMPERATE, ARID}","{ROCK, DESERTS, MOUNTAINS, BARREN}",
12,Utapau,27,351,12900,1,0,95000000,"{TEMPERATE, ARID, WINDY}","{SCRUBLANDS, SAVANNA, CANYONS, SINKHOLES}",
13,Mustafar,36,412,4200,1,0,20000,{HOT},"{VOLCANOES, LAVA_RIVERS, MOUNTAINS, CAVES}",
14,Kashyyyk,26,381,12765,1,60,45000000,{TROPICAL},"{JUNGLES, FORESTS, LAKES, RIVERS}","Kashyyyk (/kəˈʃiːk/ ka-SHEEK, /ˈkæʃɪk/ KASH-ik or /ˌkæˈʃiː.aɪk/ ka-SHEE-ike), also known as Wookiee Planet C, is a fictional planet in the Star Wars universe. It is the tropical, forested home world of the Wookiees. According to interviews given by Star Wars creator George Lucas, the home of the Wookiees was originally intended to be the forest moon of Endor which plays a key role in the plot of the sixth film of the series, Return of the Jedi.[1] However, Lucas decided that since the Wookiee Chewbacca was clearly proficient with advanced technology (i.e. he was pilot and mechanic of the spaceship the Millennium Falcon and he repaired the damaged droid C-3PO), it would be confusing to show the Wookiees with a primitive, ""stone age"" culture on Endor. The Ewoks were created instead to populate the moon and to help fight the Imperial garrison stationed there.[2] Kashyyyk made appearances in the Star Wars Holiday Special and Star Wars: Episode III – Revenge of the Sith."
15,Polis Massa,24,590,0,0.56,0,1000000,{ARTIFICIAL TEMPERATE},{AIRLESS_ASTEROID},
16,Mygeeto,12,167,10088,1,,19000000,{FRIGID},"{GLACIERS, MOUNTAINS, ICE_CANYONS}",
17,Felucia,34,231,9100,0.75,,8500000,"{HOT, HUMID}",{FUNGUS FORESTS},
18,Cato Neimoidia,25,278,0,1,,10000000,"{TEMPERATE, MOIST}","{MOUNTAINS, PLAINS, FORESTS, ROCK_ARCHES}",
19,Saleucami,26,392,14920,,,1400000000,{HOT},"{CAVES, DESERTS, MOUNTAINS, VOLCANOES}",
20,Stewjon,,,0,1,,,{TEMPERATE},{GRASS},
21,Eriadu,24,360,13490,1,,22000000000,{POLLUTED},{CITYSCAPE},
22,Corellia,25,329,11000,1,70,3000000000,{TEMPERATE},"{PLAINS, URBAN, HILLS, FORESTS}",
23,Rodia,29,305,7549,1,60,1300000000,{HOT},"{JUNGLES, OCEANS, URBAN, SWAMPS}",
24,Nal Hutta,87,413,12150,1,,7000000000,{TEMPERATE},"{URBAN, OCEANS, SWAMPS, BOGS}",
25,Dantooine,25,378,9830,1,,1000,{TEMPERATE},"{OCEANS, SAVANNAS, MOUNTAINS, GRASSLANDS}",
26,Bestine IV,26,680,6400,,98,62000000,{TEMPERATE},"{ISLANDS, OCEANS}",
27,Ord Mantell,26,334,14050,1,10,4000000000,{TEMPERATE},"{PLAINS, SEAS, MESAS}",
29,Trandosha,25,371,0,0.62,,42000000,{ARID},"{MOUNTAINS, SEAS, GRASSLANDS, DESERTS}",
30,Socorro,20,326,0,1,,300000000,{ARID},"{DESERTS, MOUNTAINS}",
31,Mon Cala,21,398,11030,1,100,27000000000,{TEMPERATE},"{OCEANS, REEFS, ISLANDS}",
32,Chandrila,20,368,13500,1,40,1200000000,{TEMPERATE},"{PLAINS, FORESTS}",
33,Sullust,20,263,12780,1,5,18500000000,{SUPERHEATED},"{MOUNTAINS, VOLCANOES, ROCKY_DESERTS}",
34,Toydaria,21,184,7900,1,,11000000,{TEMPERATE},"{SWAMPS, LAKES}",
35,Malastare,26,201,18880,1.56,,2000000000,"{ARID, TEMPERATE, TROPICAL}","{SWAMPS, DESERTS, JUNGLES, MOUNTAINS}",
36,Dathomir,24,491,10480,0.9,,5200,{TEMPERATE},"{FORESTS, DESERTS, SAVANNAS}",
37,Ryloth,30,305,10600,1,5,1500000000,"{TEMPERATE, ARID, SUBARTIC}","{MOUNTAINS, VALLEYS, DESERTS, TUNDRA}",
38,Aleen Minor,,,,,,,,,
39,Vulpter,22,391,14900,1,,421000000,"{TEMPERATE, ARTIC}","{URBAN, BARREN}",
40,Troiken,,,,,,,,"{DESERTS, TUNDRA, RAINFORESTS, MOUNTAINS}",
41,Tund,48,1770,12190,,,0,,"{BARREN, ASH}",
42,Haruun Kal,25,383,10120,0.98,,705300,{TEMPERATE},"{TOXIC_CLOUDSEA, PLATEAUS, VOLCANOES}",
43,Cerea,27,386,,1,20,450000000,{TEMPERATE},{VERDANT},
44,Glee Anselm,33,206,15600,1,80,500000000,"{TROPICAL, TEMPERATE}","{LAKES, ISLANDS, SWAMPS, SEAS}",
45,Iridonia,29,413,,,,,,"{ROCKY_CANYONS, ACID_POOLS}",
46,Tholoth,,,,,,,,,
47,Iktotch,22,481,,1,,,"{ARID, ROCKY, WINDY}",{ROCKY},
48,Quermia,,,,,,,,,
49,Dorin,22,409,13400,1,,,{TEMPERATE},,
50,Champala,27,318,,1,,3500000000,{TEMPERATE},"{OCEANS, RAINFORESTS, PLATEAUS}",
51,Mirial,,,,,,,,{DESERTS},
52,Serenno,,,,,,,,"{RAINFORESTS, RIVERS, MOUNTAINS}",
53,Concord Dawn,,,,,,,,"{JUNGLES, FORESTS, DESERTS}",
54,Zolan,,,,,,,,,
55,Ojom,,,,,100,500000000,{FRIGID},"{OCEANS, GLACIERS}",
56,Skako,27,384,,1,,500000000000,{TEMPERATE},"{URBAN, VINES}",
57,Muunilinst,28,412,13800,1,25,5000000000,{TEMPERATE},"{PLAINS, FORESTS, HILLS, MOUNTAINS}",
58,Shili,,,,1,,,{TEMPERATE},"{CITIES, SAVANNAHS, SEAS, PLAINS}",
59,Kalee,23,378,13850,1,,4000000000,"{ARID, TEMPERATE, TROPICAL}","{RAINFORESTS, CLIFFS, CANYONS, SEAS}",
60,Umbara,,,,,,,,,
61,Jakku,,,,,,,,{DESERTS},"Jakku is a fictional desert planet first featured in the 2015 Star Wars film The Force Awakens. Remote, lawless, and inhospitable, it is the homeworld of main character Rey, played by Daisy Ridley. The film focuses on two distinct localities, Tuanul Village and Niima Outpost, near a starship graveyard.
The planet is also depicted in the 2017 Chuck Wendig novel, Star Wars: Aftermath: Empire's End."
